GenBank ID,UniProt ID
DAA07065.1,P34220
DAA08242.1,P48237
DAA11533.1,Q06489
DAA08649.1,P34110
DAA08550.1,P40564
DAA10154.1,Q04835
DAA07651.1,P39106
DAA06654.1,P38736
DAA10573.1,Q6Q546
DAA08220.1,P53275
DAA07653.1,P29952
DAA10570.1,P53730
DAA09229.1,P36159
DAA09774.1,Q12746
DAA07615.1,P32626
DAA11254.1,Q08921
DAA07397.1,P36526
DAA11589.1,Q06608
DAA10070.1,P01094
DAA10312.1,P53852
DAA06690.1,P38756
DAA07747.1,P39965
DAA09342.1,Q07963
DAA09730.1,Q06440
DAA11477.1,P32855
DAA12170.1,P52286
DAA11394.1,P19657
DAA07960.1,P53114
DAA11413.1,P53686
DAA07977.1,P53125
DAA11744.1,P52891
DAA08447.1,P40484
DAA10198.1,P00729
DAA08823.1,Q02772
DAA10409.1,P0C074
DAA11519.1,Q06096
DAA10018.1,P54780
DAA07070.1,P38191
DAA12357.1,P56508
DAA11758.2,P15436
DAA11968.1,P13185
DAA08714.1,P19658
DAA08457.1,P40493
DAA08269.1,P37267
DAA08333.1,P53309
DAA08838.1,P21375
DAA11732.1,Q99385
DAA11043.1,P06174
DAA10057.1,P48353
DAA10696.1,Q99316
DAA08917.1,P47165
DAA09208.1,P0C0V8
DAA10607.1,P53752
DAA08608.1,P32525
DAA09352.1,Q12078
DAA12136.1,P38992
DAA07659.1,P33332
DAA06859.1,P16522
DAA08438.1,P40477
DAA09833.1,P38987
DAA07108.1,P32784
DAA11887.1,Q01896
DAA12412.1,P43569
DAA08126.1,P53218
DAA10207.1,Q04952
DAA11632.1,P48365
DAA07494.1,P25618
DAA11595.1,Q06623
DAA06971.2,P31374
DAA10726.1,Q08225
DAA07287.1,P33754
DAA10327.1,P53860
DAA10245.1,P32452
DAA11759.1,P39009
DAA07389.1,P38349
DAA07617.1,P32629
DAA12283.1,Q02336
DAA11321.1,Q02969
DAA09039.1,P32330
DAA09953.1,P37296
DAA08548.1,P40562
DAA06770.1,P38797
DAA07164.2,P38228
DAA06967.1,P31384
DAA07970.1,P53120
DAA09958.1,P50110
DAA11693.1,P32771
DAA09237.1,P36163
DAA11469.1,Q12049
DAA11166.1,P33311
DAA09787.1,Q03758
DAA10866.1,P36017
DAA09502.1,P09959
DAA07060.1,Q3E7A4
DAA08914.1,P47164
DAA09299.1,P23201
DAA12190.2,P50273
DAA07386.2,P38346
DAA08082.1,P32767
DAA08280.1,P41895
DAA10913.1,Q12386
DAA08171.1,P48363
DAA11222.1,P41835
DAA10778.1,P38902
DAA09524.1,Q05787
DAA06715.1,P11914
DAA08666.1,P47013
DAA08793.1,P47084
DAA11050.1,Q08742
DAA06961.1,P39735
DAA09063.1,P28320
DAA11190.1,Q12523
DAA10983.1,P32266
DAA09770.1,P39103
DAA10887.1,Q12453
DAA07506.1,P25378
DAA07936.1,P39016
DAA09366.1,P46654
DAA09632.1,Q06169
DAA06685.1,P38753
DAA11173.1,Q08979
DAA08549.1,P40563
DAA09009.1,P36056
DAA11313.1,Q02948
DAA10205.1,P50101
DAA08715.1,P47029
DAA09688.1,Q06709
DAA09450.1,P42900
DAA09203.1,P23500
DAA10574.1,P37254
DAA09454.1,Q12168
DAA07882.1,P53070
DAA09245.1,Q02455
DAA07614.1,P00045
DAA11546.1,P80967
DAA11299.1,Q03028
DAA06825.1,Q9P305
DAA09552.1,Q06001
DAA08625.1,P22135
DAA06800.1,P38816
DAA10654.1,Q08269
DAA12039.1,Q03941
DAA12396.1,P43558
DAA07045.1,P38182
DAA11088.1,Q99332
DAA12457.1,P43597
DAA09224.1,P36154
DAA11891.1,Q03125
DAA09132.2,P36103
DAA12171.1,P28795
DAA07778.1,P40073
DAA10905.1,Q12486
DAA06805.1,P38820
DAA10794.1,Q08409
DAA12086.1,Q03784
DAA07286.1,P33755
DAA07440.1,P25574
DAA08278.1,P19812
DAA10021.1,P39523
DAA11930.1,P38961
DAA11588.1,Q06604
DAA10917.1,P35202
DAA10171.1,P30402
DAA08778.1,P47072
DAA07611.1,P32621
DAA11884.1,P28817
DAA11831.1,Q12451
DAA12349.1,P32474
DAA09796.1,Q04199
DAA06689.1,P38702
DAA10113.1,P25303
DAA07324.2,P38310
DAA11738.1,P25037
DAA06943.1,Q01329
DAA10867.1,Q12511
DAA07354.1,P38330
DAA07172.1,P38235
DAA12319.1,Q03390
DAA08729.1,P40361
DAA07227.2,P38266
DAA06769.1,P38796
DAA08258.1,P53290
DAA07178.1,Q3E790
DAA10432.1,P53924
DAA10394.1,P53899
DAA08602.1,P08466
DAA10140.1,Q02554
DAA08918.1,P47166
DAA07931.1,P53101
DAA11747.1,Q07528
DAA09181.1,P14741
DAA08685.1,P32447
DAA10350.1,P40161
DAA10691.1,Q12400
DAA11909.1,Q12156
DAA09353.1,Q07980
DAA06809.1,P38823
DAA12149.1,P46676
DAA10885.1,Q12415
DAA07171.1,P38234
DAA11872.1,Q12071
DAA07052.1,P35183
DAA08022.1,P53009
DAA10764.1,Q08144
DAA09795.1,P52593
DAA09389.1,Q08001
DAA10779.1,P22579
DAA07539.1,P25365
DAA07911.1,P13711
DAA09053.1,P34250
DAA11745.1,Q07532
DAA08597.1,P40886
DAA09817.1,P53759
DAA11444.1,Q12495
DAA09093.1,P35724
DAA08081.1,P16639
DAA07344.1,P38138
DAA08735.1,Q3E7B2
DAA07303.1,P38302
DAA10280.1,P32462
DAA10925.1,Q99325
DAA09409.1,Q12255
DAA10717.1,Q12362
DAA09714.1,Q06688
DAA11273.1,P39011
DAA06837.1,P40422
DAA08215.1,P53272
DAA10407.1,P53909
DAA08094.1,P53195
DAA11512.2,Q06839
DAA12059.1,P07248
DAA09969.1,Q04767
DAA10267.1,P48567
DAA09972.1,Q04773
DAA07370.1,P38334
DAA12393.1,P43556
DAA12342.1,Q04401
DAA06864.1,P38862
DAA07345.1,P38325
DAA08400.1,P40454
DAA08313.1,P31334
DAA09619.1,Q06704
DAA08051.1,P53177
DAA09494.1,P41939
DAA07588.2,P39979
DAA09568.1,P0CE41
DAA06857.1,P38859
DAA11900.1,P14682
DAA08404.1,P40457
DAA09025.1,P14063
DAA09863.1,Q03705
DAA12221.1,Q06407
DAA09698.1,P32794
DAA07054.2,P38187
DAA08316.1,P50079
DAA08647.1,P47002
DAA11675.1,P23595
DAA11708.1,P25441
DAA07200.1,P35177
DAA10748.1,P48525
DAA08964.1,P33418
DAA08114.1,P53210
DAA11506.1,O13585
DAA09609.1,Q05902
DAA09643.1,P37370
DAA06947.1,P06182
DAA09433.1,Q99176
DAA09176.1,P36117
DAA09893.1,Q04233
DAA09492.1,P32469
DAA07216.1,P38255
DAA10235.1,P42834
DAA06938.1,P39722
DAA10043.2,P40218
DAA07515.1,P25332
DAA08856.1,P47119
DAA10455.1,P53935
DAA11985.1,P39108
DAA06662.1,P38742
DAA09594.1,Q05871
DAA11792.1,Q07418
DAA07100.1,P38206
DAA07891.1,P53076
DAA11898.1,Q99288
DAA09437.1,Q12288
DAA09429.1,Q12102
DAA09043.1,P28708
DAA07836.1,P32642
DAA07894.1,P40107
DAA10096.1,Q04338
DAA08209.1,P53270
DAA10856.1,P40962
DAA08410.1,Q00578
DAA10257.1,P48559
DAA10931.1,P17558
DAA11490.1,Q12321
DAA08296.1,P42937
DAA10883.1,Q12166
DAA07592.1,P39923
DAA10032.1,P40208
DAA07669.1,P39925
DAA09877.1,P12887
DAA09676.1,Q05934
DAA11593.1,P20133
DAA12278.1,P36973
DAA09588.1,Q06217
DAA07917.2,P53094
DAA08229.1,P53281
DAA08933.2,P47177
DAA10356.1,P34761
DAA08755.1,P47052
DAA11018.1,Q08686
DAA09557.1,Q06543
DAA07053.2,P38063
DAA07328.1,P32831
DAA08603.1,P39526
DAA08493.1,P40523
DAA09150.1,P43682
DAA12411.1,P43568
DAA11213.1,Q08969
DAA11766.1,P38985
DAA07601.1,Q02197
DAA06833.1,P38842
DAA07885.1,P22224
DAA08582.1,P40579
DAA12083.1,P23394
DAA08106.1,P16965
DAA10633.1,Q12512
DAA09940.1,Q04212
DAA07246.1,P38271
DAA09434.1,P32329
DAA08207.1,P53267
DAA11324.1,Q02981
DAA11809.1,Q12408
DAA10045.1,Q02795
DAA06869.1,P38866
DAA08186.1,P53255
DAA08991.1,P34240
DAA11721.1,P19146
DAA08355.1,P53326
DAA10417.1,P49334
DAA10266.1,P48566
DAA07868.1,P51979
DAA09443.1,Q12208
DAA10668.1,P53632
DAA09966.1,Q04749
DAA12291.1,Q03280
DAA11249.1,Q08926
DAA10505.1,P53960
DAA10101.1,P32352
DAA07759.1,P39967
DAA10818.1,P51534
DAA12172.1,Q06682
DAA12017.1,Q03976
DAA08395.1,P40452
DAA09660.1,Q06485
DAA09072.1,P36077
DAA09685.1,Q06706
DAA10542.1,P33309
DAA06684.1,P38703
DAA12309.1,Q03362
DAA07478.1,P25560
DAA09377.1,P54964
DAA08049.1,P53174
DAA11188.1,Q12344
DAA08759.1,P14907
DAA10972.1,Q08601
DAA06891.1,P38885
DAA11986.1,P22470
DAA10314.1,P53854
DAA11561.1,Q06523
DAA09061.1,P43497
DAA09641.1,P32499
DAA09357.1,Q01519
DAA09000.1,P36051
DAA07144.1,P38218
DAA10293.1,P39104
DAA08008.1,P53146
DAA08974.1,P32463
DAA10847.1,Q92331
DAA10137.1,Q05029
DAA10900.1,P41734
DAA11641.1,Q07655
DAA11198.1,P46683
DAA09183.2,P36123
DAA10010.1,Q12676
DAA11263.1,P41816
DAA09598.1,Q05881
DAA11575.1,P32486
DAA08071.1,P53189
DAA11371.1,Q02784
DAA10438.1,P53929
DAA11046.1,Q12017
DAA09529.1,P53378
DAA12267.1,Q04066
DAA10362.1,P53871
DAA06895.1,P38887
DAA10819.1,P32854
DAA12315.1,Q03375
DAA06956.1,P28004
DAA09006.1,P36054
DAA12049.1,P38994
DAA12483.2,P43612
DAA06794.1,P38812
DAA08827.1,P37020
DAA11345.1,Q02895
DAA11631.1,Q07688
DAA09426.1,Q12127
DAA10933.1,Q99189
DAA09750.1,P12684
DAA10162.2,P38430
DAA12361.1,P22108
DAA12476.1,P00127
DAA08702.1,P40856
DAA12055.1,P32501
DAA08962.1,P36039
DAA07680.1,Q04739
DAA08836.1,P21373
DAA08302.1,P42941
DAA09405.1,P52893
DAA08193.1,P53258
DAA07029.1,P38172
DAA10177.1,P48510
DAA10317.1,P53855
DAA11564.1,Q06525
DAA11947.1,Q03860
DAA12123.1,P15442
DAA11896.1,Q04311
DAA10164.1,P38428
DAA12243.1,Q04179
DAA08903.1,P47155
DAA08517.1,P40318
DAA10886.1,Q99210
DAA11422.1,Q12200
DAA08031.1,P10961
DAA09100.1,P35729
DAA10893.1,Q12108
DAA10890.1,Q99394
DAA11411.1,Q02733
DAA12271.1,Q04080
DAA12044.1,Q03956
DAA10695.1,Q12180
DAA12340.1,P48813
DAA12071.1,Q04934
DAA09776.1,P25297
DAA12179.1,P21771
DAA12220.1,Q06406
DAA11847.1,Q03441
DAA08631.1,P26755
DAA06937.1,P39721
DAA11308.1,Q02932
DAA11500.1,Q06819
DAA10510.1,P53962
DAA08630.1,P39005
DAA11497.1,Q06815
DAA10390.1,P53895
DAA10554.1,P27514
DAA12046.1,Q03455
DAA08015.1,P52920
DAA09564.1,P39931
DAA09946.1,Q02630
DAA07800.1,P40084
DAA12002.1,Q12163
DAA10928.1,Q99312
DAA08612.1,P39540
DAA08304.1,P42942
DAA11049.1,Q12305
DAA08289.1,P46949
DAA09797.1,Q04201
DAA09620.1,P04821
DAA08884.1,P35127
DAA06744.1,P00427
DAA08018.1,P53152
DAA12009.1,Q12427
DAA10299.2,P53846
DAA07768.1,P40066
DAA10701.1,Q12292
DAA08681.1,P46969
DAA06693.1,P87108
DAA09308.1,Q07800
DAA08920.1,P57744
DAA07139.1,P38217
DAA10371.2,P53878
DAA10250.1,P42843
DAA12423.1,P43577
DAA10271.1,P53829
DAA09918.1,P50264
DAA08276.1,P53299
DAA09517.1,Q05778
DAA09301.1,Q3E731
DAA11808.1,P20604
DAA06894.1,P38698
DAA12304.2,Q03327
DAA09840.1,Q04964
DAA11262.1,P21592
DAA07749.1,P40059
DAA07899.1,P53082
DAA10146.1,Q3E846
DAA10396.1,P53900
DAA10658.1,P22133
DAA10249.1,P26754
DAA11592.1,P24482
DAA09907.1,Q03677
DAA12218.1,P48360
DAA10020.1,Q03880
DAA12302.1,Q03322
DAA07083.1,P38197
DAA12106.1,Q12331
DAA07206.1,O43137
DAA11902.1,Q12025
DAA11421.1,Q12308
DAA12120.1,Q05636
DAA09112.1,P20457
DAA09220.1,P36150
DAA11185.1,Q12184
DAA12070.1,P39081
DAA07214.1,P00635
DAA10036.1,P38615
DAA08544.1,Q3E7Z5
DAA10567.1,P53727
DAA10947.1,Q08548
DAA11967.1,Q04603
DAA12317.1,P39904
DAA12089.1,Q03786
DAA12368.1,Q03034
DAA10233.1,P32561
DAA07449.1,P25373
DAA11084.1,Q12096
DAA12370.2,Q03049
DAA07213.1,P24031
DAA10756.1,Q92325
DAA08524.1,P16370
DAA11385.1,Q03308
DAA10823.1,Q12320
DAA09777.1,Q00582
DAA11659.1,P28789
DAA11090.1,P33328
DAA08813.1,P47095
DAA07878.1,P53067
DAA11236.1,Q08954
DAA06944.1,P39727
DAA10393.1,P53898
DAA11377.1,P54070
DAA10138.1,Q05031
DAA07779.1,P40074
DAA06807.1,P38821
DAA09988.1,P32832
DAA09309.1,Q12287
DAA09018.1,P35718
DAA12399.1,P43561
DAA07644.1,P40002
DAA12288.1,Q04120
DAA07446.1,P25568
DAA07762.1,P39945
DAA09326.1,Q07914
DAA10375.2,P53882
DAA07534.1,P25638
DAA11765.1,P52867
DAA08860.1,P47123
DAA09311.1,Q07799
DAA08769.1,P47061
DAA06969.1,P31380
DAA10732.1,P21182
DAA11652.1,Q02774
DAA10444.1,P50944
DAA11029.1,Q08726
DAA07123.1,P35196
DAA07194.2,P38244
DAA10937.1,Q99321
DAA10480.1,P53616
DAA07928.1,P04037
DAA07394.1,P38351
DAA11854.1,P40317
DAA09501.1,Q06263
DAA08744.1,P47045
DAA07598.1,P39984
DAA07375.1,P38337
DAA11913.1,Q12454
DAA08508.1,P40532
DAA11118.1,Q08826
DAA10301.1,P53847
DAA08821.1,P47103
DAA08615.1,P39543
DAA12043.1,Q03954
DAA10159.1,Q03496
DAA07280.1,P38116
DAA09920.1,Q02159
DAA07445.1,P25569
DAA07696.1,P40029
DAA07196.1,P38247
DAA08449.1,P40486
DAA09615.1,P52491
DAA07499.1,Q9URQ5
DAA07315.1,P38131
DAA10575.1,P50278
DAA07641.1,P28263
DAA07528.1,P25631
DAA09207.1,P33753
DAA10504.1,P53959
DAA11714.1,Q07589
DAA08606.1,P39531
DAA11943.2,Q03835
DAA11041.1,Q12033
DAA10648.1,Q08280
DAA09402.1,Q12267
DAA09805.1,Q04493
DAA09046.1,P14164
DAA11914.1,P54858
DAA11997.1,P50106
DAA12161.1,Q06677
DAA09361.1,P22217
DAA11333.1,Q02888
DAA07228.1,P06787
DAA11301.1,P19516
DAA11499.1,Q06817
DAA11212.2,Q08970
DAA10911.1,Q12242
DAA08014.1,P49687
DAA08542.1,P22804
DAA08117.1,P53212
DAA09630.1,Q06168
DAA10334.1,P53538
DAA11739.1,Q07541
DAA06873.1,P38869
DAA10413.1,P20081
DAA08036.1,P53165
DAA11696.1,P06100
DAA09788.1,P49017
DAA06700.1,P38705
DAA11941.1,Q03833
DAA09508.1,Q06321
DAA07291.1,P38122
DAA08213.1,P40260
DAA10837.1,P50275
DAA11863.1,Q12494
DAA10158.1,Q04847
DAA09590.1,Q06224
DAA09687.1,Q06708
DAA09802.1,P54787
DAA12262.1,P32578
DAA10548.1,P40344
DAA12465.1,P38635
DAA10723.1,Q12296
DAA10325.1,P53858
DAA08456.1,P40492
DAA07019.1,P38164
DAA09697.1,P20795
DAA09974.1,Q04264
DAA09375.1,Q12205
DAA07717.1,P40038
DAA11399.1,Q02648
DAA12144.1,P49775
DAA09117.1,P32857
DAA07359.1,P07286
DAA09381.1,Q12144
DAA07322.2,P38139
DAA06698.1,P38758
DAA07022.1,P38167
DAA08174.1,P53251
DAA08241.1,P48236
DAA10468.1,P53940
DAA08837.1,P21374
DAA11903.1,Q99220
DAA09936.1,P33748
DAA07489.1,P25371
DAA08480.1,P40513
DAA08875.1,P47135
DAA11472.1,Q12181
DAA07934.1,P53104
DAA08205.1,P53265
DAA06884.1,P38878
DAA07360.1,P38143
DAA07307.1,P38304
DAA10484.1,P41814
DAA08390.1,P00724
DAA08753.1,P47050
DAA08532.1,P40549
DAA11927.1,P38959
DAA10990.1,P33894
DAA10706.1,P81451
DAA11724.1,P23594
DAA09937.1,P40202
DAA11418.1,P53600
DAA07439.1,P25576
DAA09869.1,Q03714
DAA09050.1,P34251
DAA08678.1,P47017
DAA06962.2,P39524
DAA06753.1,P38784
DAA11811.1,P38913
DAA06831.1,P38841
DAA07633.1,P39994
DAA08627.1,P46989
DAA10117.1,Q03660
DAA11794.1,Q07395
DAA09955.1,P04710
DAA10688.1,P27680
DAA11366.1,Q02767
DAA12451.1,P43594
DAA07068.1,P34217
DAA09553.1,Q06005
DAA08975.1,P32461
DAA10569.1,P53729
DAA10434.1,P28000
DAA10563.1,P53724
DAA08042.1,P53169
DAA10855.1,Q08491
DAA08829.1,P46673
DAA07951.1,P53108
DAA07496.1,P23060
DAA11346.1,Q02896
DAA07830.1,P21269
DAA10436.1,P40312
DAA09432.1,Q12354
DAA09191.1,P36132
DAA10182.1,P23797
DAA07990.1,P27697
DAA12488.1,P43617
DAA08499.1,P40527
DAA08791.1,P47082
DAA07145.1,P29465
DAA10961.1,Q08561
DAA08338.1,P53314
DAA10296.1,P53845
DAA10901.1,P39083
DAA11566.1,Q06449
DAA12350.1,P32472
DAA09684.1,Q12749
DAA07912.1,P09620
DAA11076.1,Q12382
DAA08292.1,P42934
DAA11347.1,Q02908
DAA07916.1,P53093
DAA09522.1,P32339
DAA09168.1,P36110
DAA10558.1,P32897
DAA08435.1,Q00245
DAA08768.1,P40958
DAA08530.1,P12630
DAA06817.1,P22140
DAA08500.1,P40528
DAA11928.1,P32896
DAA07451.1,P25566
DAA12433.1,P43583
DAA08412.1,P38928
DAA12447.1,P43591
DAA08916.2,P46970
DAA10798.1,Q12450
DAA06776.1,P38801
DAA08741.1,P47042
DAA12108.1,P39010
DAA09223.1,P36024
DAA08688.1,P47025
DAA11281.1,P22216
DAA08450.1,P40487
DAA12222.1,Q3E785
DAA07385.1,P38345
DAA09602.1,Q05892
DAA10518.1,P53969
DAA09344.1,Q01590
DAA10692.1,Q12010
DAA11493.1,P40347
DAA09374.1,P32353
DAA10995.1,P20436
DAA12415.1,P43571
DAA12303.1,Q03323
DAA11846.1,Q03435
DAA10774.1,Q92328
DAA08309.1,P53305
DAA10067.1,Q03212
DAA09532.1,Q05791
DAA06993.2,P27637
DAA10730.1,Q08223
DAA07383.2,P38344
DAA07349.1,P69850
DAA09031.1,P36068
DAA10234.1,P33760
DAA09666.1,P23561
DAA07895.1,P53078
DAA06725.1,P38768
DAA07553.1,P25372
DAA10194.1,Q03557
DAA12362.1,Q04430
DAA07229.1,P16661
DAA07533.1,P25637
DAA10223.1,Q04902
DAA09554.1,P22543
DAA07877.1,P53066
DAA08573.1,Q02256
DAA10532.1,P53980
DAA10932.1,Q12330
DAA10702.1,P35193
DAA11080.1,P32798
DAA11439.1,Q12251
DAA07896.1,P53079
DAA12460.2,P34756
DAA08577.1,P32460
DAA07189.1,P38242
DAA07136.1,P38068
DAA08230.1,P53283
DAA11019.1,Q08687
DAA11217.1,Q08966
DAA06808.1,P38822
DAA11005.1,P07807
DAA11584.1,P18408
DAA11769.1,Q12066
DAA12063.1,Q04924
DAA08520.1,P40541
DAA07392.1,P38148
DAA12069.1,P11978
DAA11752.1,P06242
DAA08622.1,P46984
DAA08969.1,P24004
DAA06928.1,P39713
DAA08668.1,P10566
DAA12175.1,Q05468
DAA11767.1,Q12229
DAA09456.1,Q12455
DAA09089.1,Q02629
DAA07514.1,P25359
DAA07941.1,Q02199
DAA10392.1,P53897
DAA12038.1,P42073
DAA09286.1,Q07845
DAA08580.1,P40578
DAA10295.1,P53844
DAA06900.1,P38890
DAA08774.1,P47064
DAA10178.1,Q03254
DAA09044.1,P22936
DAA11114.1,Q08817
DAA08455.1,P40491
DAA07084.1,P38121
DAA10770.1,Q08109
DAA06838.1,P06773
DAA10549.1,P40345
DAA11905.1,P15732
DAA09098.1,P35728
DAA08698.1,P39677
DAA09124.1,P33417
DAA08844.1,P00572
DAA08834.1,P19211
DAA10056.1,Q03823
DAA11842.1,P35182
DAA08971.1,P36046
DAA09137.1,Q3E7A7
DAA10121.1,Q05015
DAA07650.1,P40006
DAA09152.1,P36106
DAA12459.1,P43599
DAA08125.1,P27882
DAA11931.1,P38962
DAA09865.1,Q03707
DAA06974.1,P31377
DAA06706.1,P32792
DAA11297.1,Q03016
DAA09394.1,P25385
DAA07965.1,P33891
DAA09758.1,P41733
DAA12111.1,Q05583
DAA07181.1,P38238
DAA08737.1,P40368
DAA06714.1,P08964
DAA07388.1,P38348
DAA11113.1,Q08816
DAA06942.1,P39726
DAA11604.1,Q06580
DAA09830.1,Q04651
DAA12408.1,P43565
DAA08701.1,P40955
DAA07944.1,P32579
DAA11567.1,Q12374
DAA06724.1,P38690
DAA08751.1,P47049
DAA35095.1,Q8TGU7
DAA07187.2,P38084
DAA11474.1,Q03503
DAA10556.1,P53720
DAA08465.1,P40501
DAA10808.1,P26449
DAA10398.1,P17890
DAA07329.1,P15807
DAA08877.1,P45976
DAA07452.1,P25344
DAA10718.1,Q08227
DAA11838.1,Q12438
DAA07904.1,P32912
DAA12189.1,Q06325
DAA09814.1,Q04533
DAA11716.1,Q07560
DAA11223.1,Q08963
DAA10655.1,Q12016
DAA08579.1,P32459
DAA07948.1,P53107
DAA08021.1,P53154
DAA07564.1,P25366
DAA11238.1,Q08952
DAA11557.1,Q06512
DAA11583.1,P10663
DAA07469.1,Q8J0M4
DAA08019.1,P40957
DAA09518.1,P52553
DAA11228.1,Q08961
DAA07740.1,P40052
DAA11925.1,P38958
DAA09435.1,Q12303
DAA08353.1,P53324
DAA09786.1,P46963
DAA09116.1,P32860
DAA08788.1,P47081
DAA07687.1,P40022
DAA11319.1,P32873
DAA07357.1,P38142
DAA11438.1,A5Z2X5
DAA08543.1,P40558
DAA09555.1,Q06538
DAA08045.1,P53171
DAA07358.1,P38331
DAA10115.1,Q03656
DAA08704.1,P40858
DAA06733.1,P34162
DAA10309.1,P12753
DAA10486.1,P53946
DAA08182.1,P53253
DAA08326.1,P50087
DAA08251.1,P53289
DAA11740.1,Q07540
DAA07871.1,P22434
DAA07242.1,P38089
DAA06958.1,P31109
DAA06717.1,P23968
DAA12482.1,P43611
DAA09082.1,P36084
DAA10737.1,Q08217
DAA07531.1,P25355
DAA07660.1,P33331
DAA08482.1,P32844
DAA09735.1,Q06672
DAA10970.1,Q08581
DAA08108.1,P53204
DAA09854.1,Q04711
DAA06829.1,P38839
DAA11331.1,Q02884
DAA08005.1,P53144
DAA10335.1,P41812
DAA07648.1,P40005
DAA10982.1,P22139
DAA12240.1,Q92317
DAA11200.1,Q12003
DBA54441.1,P9WEJ3
DAA07807.1,P40089
DAA10127.1,P14908
DAA08348.1,P53320
DAA10698.1,Q3E835
DAA09115.1,P36095
DAA10999.1,Q12206
DAA07156.1,P35206
DAA11601.1,Q06628
DAA08364.1,P53331
DAA08267.1,P53039
DAA08104.1,P33411
DAA10833.1,Q08422
DAA12084.1,P35056
DAA08463.1,P40499
DAA06803.1,P38818
DAA07788.1,P40080
DAA08539.1,P40555
DAA08414.1,P40414
DAA06941.1,Q3E793
DAA09163.1,Q02205
DAA10242.1,P42840
DAA08080.1,P53193
DAA09019.1,P34078
DAA08218.1,P53273
DAA11697.1,P04819
DAA12426.1,P43579
DAA08977.1,P32464
DAA09251.1,P36169
DAA09129.1,P36102
DAA10110.1,Q03652
DAA11783.1,Q07458
DAA09404.1,P39012
DAA10251.1,P42844
DAA10381.1,Q02100
DAA09939.1,Q04210
DAA10494.1,P53951
DAA06804.1,P38819
DAA11657.1,Q12315
DAA11581.1,Q06211
DAA06978.2,P18409
DAA07379.1,P38341
DAA10367.2,P53874
DAA09206.1,Q00246
DAA10074.1,Q03218
DAA07369.1,P32570
DAA10534.1,P53982
DAA08054.1,P53178
DAA07465.1,P04173
DAA10525.1,P53974
DAA07994.1,P53134
DAA10472.1,P32048
DAA10934.1,Q12412
DAA10676.1,Q12239
DAA10988.1,Q12234
DAA10099.1,Q03691
DAA08065.1,P27705
DAA06980.1,P18411
DAA08056.1,P25299
DAA09240.2,P36166
DAA07126.1,P38212
DAA08127.1,P53219
DAA09238.1,P36164
DAA08110.1,P53207
DAA07270.1,P33313
DAA08850.1,P32529
DAA11065.1,Q08754
DAA06797.1,P38814
DAA09835.1,P33441
DAA07730.1,P40045
DAA12041.1,Q03942
DAA11682.1,Q12301
DAA09826.1,Q04632
DAA07892.1,Q92316
DAA08197.1,P32585
DAA07706.1,P40033
DAA10803.1,Q3E824
DAA10437.1,P53927
DAA11202.1,P32842
DAA10358.1,P40168
DAA08059.2,P0C5N3
DAA07903.1,Q02793
DAA12443.1,P43587
DAA07625.1,P25515
DAA09162.1,Q02204
DAA09154.1,P28778
DAA07034.1,P38175
DAA09506.1,Q06315
DAA12202.1,O94742
DAA09803.1,Q04489
DAA11487.1,Q12425
DAA07492.1,P25616
DAA10497.1,P53954
DAA10784.1,Q12001
DAA09155.1,P36108
DAA08913.2,P47163
DAA09041.1,P32341
DAA10593.1,P39008
DAA09595.1,Q05874
DAA10093.1,Q3E7A9
DAA10984.1,P18851
DAA07453.1,P25368
DAA07231.1,Q6WNK7
DAA12294.1,Q03290
DAA08655.1,P46958
DAA12292.1,Q03281
DAA12208.1,Q06346
DAA10491.1,P53950
DAA06887.1,P38881
DAA08136.1,P53224
DAA12119.1,Q05635
DAA08041.1,P53168
DAA12112.1,P04803
DAA08199.1,P53262
DAA08236.2,P48234
DAA11467.1,Q12221
DAA09569.1,P0C2I8
DAA08720.1,P47032
DAA11055.1,Q12697
DAA09104.1,O60200
DAA07384.1,P36532
DAA11866.1,Q12084
DAA09236.1,P15938
DAA09669.1,Q05926
DAA07237.1,P32605
DAA10509.1,P53615
DAA12095.1,Q12508
DAA07114.1,P38210
DAA10651.1,Q08273
DAA10252.1,P42845
DAA08288.1,P46948
DAA09971.1,Q04772
DAA11919.1,P38956
DAA09304.1,Q12431
DAA06966.1,P31381
DAA09358.1,P40395
DAA09319.1,Q07895
DAA08102.1,P53203
DAA08921.1,P47168
DAA07540.1,P25641
DAA07222.1,P38262
DAA11541.1,Q06497
DAA10004.1,Q04438
DAA11291.1,Q12245
DAA09736.1,Q06673
DAA11191.1,Q12270
DAA12018.1,P32494
DAA07637.1,P39996
DAA12152.1,Q06651
DAA09406.1,P39102
DAA07247.1,P38272
DAA06899.1,P38889
DAA07078.1,P18414
DAA12397.1,P43560
DAA12378.1,P43542
DAA06742.1,P38778
DAA12458.1,P43598
DAA09292.1,Q07824
DAA08874.1,P24814
DAA11647.1,Q12328
DAA08586.1,P40583
DAA08105.1,P33412
DAA11923.1,Q01589
DAA07526.1,P25628
DAA06816.1,P38829
DAA09087.1,P36088
DAA10899.1,P41735
DAA11814.1,P06700
DAA08538.1,P40554
DAA07256.1,P18963
DAA11435.1,Q12753
DAA09741.1,Q12745
DAA11560.1,Q06522
DAA08703.1,P40857
DAA08885.1,P47140
DAA08750.1,P47048
DAA07846.1,P40099
DAA07251.1,P20486
DAA08044.1,P06104
DAA09099.1,P32774
DAA09968.1,P54785
DAA09246.1,Q3E833
